stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
313,,N Main St and Hickory Ln,41.777525,-72.745794,,,,
314,,N Main St and Brookside Blvd,41.775272,-72.745409,,,,
315,,N Main St and Wyndwood Rd,41.77285,-72.744963,,,,
316,,N Main St and School For Deaf,41.771205,-72.744044,,,,
317,,N Main St and Hilltop Dr,41.770132,-72.743476,,,,
318,,N Main St and Fern St,41.768916,-72.743126,,,,
319,,N Main St and Opp Loomis Dr,41.766646,-72.742754,,,,
320,,N Main St and Whitman Ave,41.765314,-72.742489,,,,
321,,N Main St and N Main St,41.763196,-72.742019,,,,
322,,New Britain Ave and Chatfield Dr,41.729554,-72.752195,,,,
323,,New Britain Ave and Opp Bramley Rd,41.73033,-72.749312,,,,
324,,New Britain Ave and Opp Valley Crest Dr,41.730722,-72.747665,,,,
325,,New Britain Ave and Knollwood Rd,41.731381,-72.744879,,,,
326,,S Main St and Brightwood Ln,41.732337,-72.743183,,,,
327,,S Main St and Winthrop Rd,41.73441,-72.742938,,,,
328,,S Main St and Hooker Dr,41.736635,-72.742996,,,,
329,,Farmington Ave and Opp Stop and Shop,41.757527,-72.88518,,,,
330,,Farmington Ave and Opp W Avon Rd,41.756554,-72.882394,,,,
331,,Farmington Ave and 1761 Farmington Ave,41.755474,-72.880103,,,,
332,,Farmington Ave and Opp Walnut St,41.75434,-72.877716,,,,
333,,Farmington Ave and 1657 Farmington Ave,41.752509,-72.873863,,,,
334,,Farmington Ave and Opp Highwood Rd,41.751545,-72.871937,,,,
336,,Farmington Ave and Opp Montieth Dr,41.748534,-72.868762,,,,
338,,Farmington Ave and Farmington Apts,41.746024,-72.864437,,,,
339,,Farmington Ave and Woewassa Ln,41.745086,-72.862462,,,,
340,,Farmington Ave and Wannomassa Rd,41.743791,-72.860475,,,,
342,,Farmington Ave and Lakeview Apts,41.741897,-72.857011,,,,
343,,Farmington Ave and Bridgewater Rd,41.740432,-72.851536,,,,
344,,Farmington Ave and Opp Grandview Dr,41.740245,-72.850216,,,,
346,,Farmington Ave and Melrose Dr,41.736189,-72.840406,,,,
347,,Farmington Ave and Opp Mini-Golf Park,41.734321,-72.836979,,,,
348,,Farmington Ave and Opp Town Farm Rd,41.732007,-72.832764,,,,
349,,Farmington Ave and High St,41.725286,-72.822521,,,,
351,,Farmington Ave and 529 Farmington Ave,41.724641,-72.807229,,,,
352,,Farmington Ave and Farm Glen Blvd,41.730225,-72.800047,,,,
353,,Farmington Ave and Main Rd,41.73573,-72.795128,,,,
355,,Main Rd and Opp The Jackson Laboratory,41.733727,-72.793495,,,,
358,,Reservoir Ave and Old Mountain Rd,41.739187,-72.791578,,,,
359,,Farmington Ave and Opp Beech St,41.742564,-72.786309,,,,
360,,Farmington Ave and Opp Crescent Ave,41.743564,-72.784758,,,,
361,,Farmington Ave and Opp Water Treatment Plant,41.745806,-72.781329,,,,
362,,Farmington Ave and Buena Vista Rd,41.749245,-72.77607,,,,
363,,Farmington Ave and Reservoir Ave,41.75088,-72.773671,,,,
364,,Farmington Ave and 1329 Farmington Ave,41.752014,-72.772095,,,,
365,,Farmington Ave and Opp Sunset Farm Rd,41.753095,-72.77058,,,,
368,,Plainville Ave and Meadow Rd,41.718831,-72.882667,,,,
371,,Plainville Ave and Webster St,41.751932,-72.886423,,,,
372,,Plainville Ave and Coppermine Rd,41.737139,-72.890867,,,,
373,,Plainville Ave and Opp Lake Garda Dr,41.739373,-72.891075,,,,
374,,Plainville Ave and Opp Webster St,41.75162,-72.88606,,,,
375,,S Main St and Plainville Ave,41.745863,-72.887775,,,,
377,,Garden St and Ct Mutual,41.771485,-72.686543,,,,
378,,Garden St and Opp Collins St,41.772228,-72.687317,,,,
379,,Ashley St and Garden St,41.77364,-72.687435,,,,
380,,Ashley St and 50 Ashley St,41.773928,-72.689276,,,,
381,,Ashley St and Huntington St,41.774261,-72.690972,,,,
382,,Ashley St and Sigourney St,41.774512,-72.692159,,,,
383,,Ashley St and May St,41.774809,-72.693552,,,,
384,,Ashley St and Atwood St,41.775392,-72.696083,,,,
385,,Ashley St and 234 Ashley St,41.775563,-72.696955,,,,
386,,Woodland St and Sargeant St,41.77678,-72.698491,,,,
387,,Homestead Ave and Woodland St,41.779014,-72.698196,,,,
389,,Homestead Ave and Adams St,41.780321,-72.700545,,,,
390,,Homestead Ave and Kent St,41.780876,-72.701295,,,,
391,,Homestead Ave and Baltimore St,41.781842,-72.702166,,,,
392,,Westbourne Pkwy and Albany Ave,41.784649,-72.702573,,,,
393,,Granby St and Westbourne Pkwy,41.78658,-72.702654,,,,
394,,Cornwall St and Granby St,41.787689,-72.7039,,,,
395,,Cornwall St and Burlington St,41.78852,-72.703475,,,,
396,,Cornwall St and Sharon St,41.78944,-72.702952,,,,
397,,Cornwall St and Hebron St,41.790476,-72.702235,,,,
398,,Cornwall St and Chatham St,41.791449,-72.701518,,,,
399,,Cornwall St and Plainfield St,41.792387,-72.700874,,,,
400,,Cornwall St and Thomaston St,41.793173,-72.70034,,,,
401,,Cornwall St and Pembroke St,41.793968,-72.699926,,,,
402,,Cornwall St and Colebrook St,41.794719,-72.699658,,,,
403,,Holcomb St and Cornwall St,41.795819,-72.700456,,,,
404,,Palm St and Holcomb St,41.795838,-72.70191,,,,
405,,Palm St and Andover St,41.796437,-72.701897,,,,
406,,Palm St and Westminster St,41.797545,-72.701786,,,,
407,,Palm St and Branford St,41.798465,-72.701397,,,,
408,,Palm St and Manchester St,41.799484,-72.701116,,,,
409,,Palm St and Tower Ave,41.800682,-72.701126,,,,
410,,Palm St and Opp Pomfret St,41.801719,-72.701306,,,,
411,,Palm St and Opp Durham St,41.802747,-72.701462,,,,
412,,Palm St and Simpson St,41.803667,-72.701508,,,,
413,,Palm St and Harold St,41.804427,-72.701495,,,,
414,,Burnham St and Palm St,41.805151,-72.702124,,,,
415,,Burnham St and Opp Lyme St,41.805082,-72.70456,,,,
416,,Burnham St and N Canaan St,41.805047,-72.705518,,,,
417,,Burnham St and Granby St,41.804995,-72.706949,,,,
418,,Nahum Dr and 211 Nahum Dr,41.806142,-72.709747,,,,
419,,Nahum Dr and Opp Berkeley Dr,41.806007,-72.70845,,,,
420,,Nahum Dr and 157 Nahum Dr,41.805707,-72.712729,,,,
421,,Nahum Dr and 109 Nahum Dr,41.804857,-72.712234,,,,
422,,Nahum Dr and 77 Nahum Dr,41.803497,-72.710769,,,,
423,,Granby St and Bowles Park,41.803396,-72.70757,,,,
424,,Burnham St and Opp N Canaan St,41.804877,-72.705312,,,,
425,,Burnham St and Lyme St,41.804921,-72.703918,,,,
426,,Burnham St and Palm St,41.804973,-72.701967,,,,
427,,Palm St and Harold St,41.804445,-72.701737,,,,
428,,Palm St and Simpson St,41.803641,-72.701751,,,,
429,,Palm St and Durham St,41.802684,-72.701704,,,,
430,,Palm St and Pomfret St,41.801638,-72.701536,,,,
431,,Palm St and Tower Ave,41.800262,-72.701345,,,,
432,,Palm St and Manchester St,41.799064,-72.70142,,,,
433,,Palm St and Branford St,41.798421,-72.701675,,,,
434,,Palm St and Westminster St,41.797474,-72.702041,,,,
435,,Palm St and Andover St,41.796393,-72.70214,,,,
436,,Palm St and Holcomb St,41.795794,-72.702153,,,,
437,,Holcomb St and Cornwall St,41.795667,-72.700081,,,,
438,,Palm St and Colebrook St,41.794766,-72.702155,,,,
439,,Colebrook St and Cornwall St,41.794701,-72.700204,,,,
440,,Cornwall St and Colebrook St,41.794567,-72.699925,,,,
441,,Cornwall St and Pembroke St,41.794013,-72.700144,,,,
442,,Cornwall St and Thomaston St,41.792861,-72.700813,,,,
443,,Cornwall St and Plainfield St,41.79203,-72.701372,,,,
444,,Cornwall St and Chatham St,41.791137,-72.702028,,,,
445,,Cornwall St and Hebron St,41.790146,-72.702733,,,,
446,,Cornwall St and Sharon St,41.789136,-72.703389,,,,
447,,Cornwall St and Burlington St,41.788181,-72.703936,,,,
448,,Granby St and Garfield St,41.787475,-72.704179,,,,
449,,Granby St and Westbourne Pkwy,41.786401,-72.702654,,,,
450,,Homestead Ave and Albany Ave,41.783854,-72.703144,,,,
451,,Homestead Ave and Opp Baltimore St,41.781422,-72.70213,,,,
452,,Homestead Ave and Opp Adams St,41.780169,-72.700703,,,,
453,,Homestead Ave and Opp Milford St,41.779856,-72.700206,,,,
454,,Homestead Ave and Woodland St,41.778701,-72.698039,,,,
455,,Woodland St and Woodland Dr,41.777236,-72.698563,,,,
457,,Ashley St and Opp 234 Ashley St,41.775384,-72.697016,,,,
458,,Ashley St and Atwood St,41.775196,-72.696083,,,,
459,,Ashley St and May St,41.774738,-72.694097,,,,
460,,Ashley St and Sigourney St,41.774325,-72.692171,,,,
461,,Ashley St and Huntington St,41.773965,-72.690439,,,,
462,,Ashley St and 39 Ashley St,41.773678,-72.688889,,,,
463,,Ashley St and Garden St,41.773444,-72.687363,,,,
464,,Garden St and Collins St,41.772738,-72.687425,,,,
465,,Garden St and Opp Ct Mutual,41.771021,-72.686362,,,,
466,,Cogswell St and Hartford Ins,41.769626,-72.686195,,,,
467,,Colebrook St and Cornwall St,41.794871,-72.700179,,,,
468,,Palm St and Colebrook St,41.794828,-72.7019,,,,
469,,Broad St and Russ St,41.761208,-72.686975,,,,
470,,Broad St and Grand St,41.759296,-72.687149,,,,
471,,Broad St and Ward St,41.755989,-72.68718,,,,
472,,Broad St and Jefferson St,41.755158,-72.687181,,,,
473,,Broad St and Madison St,41.754246,-72.687195,,,,
474,,Broad St and Lincoln St,41.753147,-72.687198,,,,
475,,Broad St and Allen Pl,41.75211,-72.6872,,,,
476,,Broad St and Vernon St,41.751038,-72.687214,,,,
477,,Broad St and Opp Brownell Ave,41.748839,-72.68723,,,,
478,,Broad St and Opp School St,41.747374,-72.687245,,,,
479,,Broad St and Trinity Skating Rink,41.743942,-72.687264,,,,
480,,Broad St and Mountford St,41.741716,-72.687269,,,,
481,,Broad St and Opp Kenneth St,41.741135,-72.687282,,,,
482,,Broad St and Roxbury St,41.740117,-72.687296,,,,
483,,Broad St and Mapleton St,41.73916,-72.68731,,,,
484,,Broad St and W Preston St,41.737963,-72.687325,,,,
485,,Broad St and Eastview St,41.737427,-72.687326,,,,
486,,Broad St and White St,41.736157,-72.686832,,,,
487,,Maple Ave and Chapman St,41.73537,-72.686785,,,,
488,,Maple Ave and Linnmoore St,41.734379,-72.687332,,,,
489,,Maple Ave and Freeman St,41.733352,-72.687831,,,,
490,,Maple Ave and Griswold St,41.731467,-72.688839,,,,
491,,Maple Ave and Salem St,41.730136,-72.689532,,,,
492,,Maple Ave and 1093 Maple Ave,41.728591,-72.690359,,,,
493,,Maple Ave and Fairfield Ave,41.727707,-72.690857,,,,
494,,Ridge Rd and 81 Ridge Rd,41.724169,-72.691614,,,,
495,,Ridge Rd and Jordan Ln,41.720835,-72.691657,,,,
